0187279 B.C. Ltd
1000333018 Ontario Corp
1097195 BC Ltd
1132144 British Columbia Ltd.
1163631 BC Ltd
1232963 BC LTD
1255269 B.C. Ltd.
1274787 BC Ltd
1279810 BC Ltd
1296991 B.C. Ltd
1301666 B.C. Ltd
1335025 B.C. Ltd
1370553 B.C. Ltd
1396427 BC Ltd
1403437 BC LTD
1411409 B.C. Ltd
1414447 BC Ltd
"1735046 Ontario, Inc."
1844 Resources Inc
1911 Gold Corp
2311548 Alberta Ltd
2672403 Ontario Inc.
2752300 Ontario Inc
2765798 Ontario Ltd
2777662 Ontario Corp
37 Capital Inc
49 North Resources Inc
49er Creek Gold Corp.
5N Plus Inc.
79North Inc
802213 Alberta Ltd.
911 Mining Co
9248-7792 Quebec Inc
9265-9911 Quebec Inc.
9396-1217 Quebec Inc.
Aalbers Tool & Mold Inc.
Abacus Mining & Exploration Corp
Abasca Resources Inc
Abcourt Mines Inc
Aben Minerals Ltd
ABH Engineering Inc
Abitibi Geophysics Inc.
Abitibi Mining Corp.
Abitibi Royalties Inc
Aboriginal Affairs and Northern Development Canada
ACE Group LLC
ACME Lithium Inc.
AcmeLabs
Acrodex Inc
Activation Laboratories Ltd
Adamera Minerals Corp.
Adanac Molybdenum Corporation
Adastra Holdings Ltd
ADF Group Inc
Adler Steel Ltd
Advance Lithium Corp
Advanced Fan Systems Inc
Advanced Gold Exploration Inc
Advanced Opto-Mechanical Systems & Technologies Inc
Advantage Lithium Corp.
Adventus Mining Corp
AECOM Canada Ltd
Aecon Mining
Aereus Technologies Inc.
Affinity Metals Corp
AFR NuVenture Resources Inc
Africa Energy Corp
Afri-Can Marine Minerals Corporation
Africo Resources Ltd.
"Aggregate Management, Inc."
Agnico Eagle Mines Ltd
Aida Minerals Corp
AIM Energy Inc
AJN Resources Inc
Alamos Gold Inc
Alcan Inc.
Aldebaran Resources Inc.
Alderon Iron Ore Corp
Aldever Resources Inc
Aldridge Minerals Inc
"Alexander Nubia, Inc."
Alexco Resource Corp
Algold Resources Ltd.
Algoma Steel Group Inc
Alhambra Resources Ltd
Alio Gold Inc
Alkali3 Resources Inc
Allana Potash Corp.
Allegiant Gold Ltd.
Alloycorp Mining Inc
All-Terrain Track Sales & Services Ltd
Alma Gold Inc
Almadex Minerals Limited
Almonty Industries Inc
Alpha Exploration Inc.
Alpha Lithium Corp
ALS Canada Ltd
Alta Floresta Gold Ltd.
ALTA PRECISION INC
Altair Resources Inc
