,Company,Site URL,Site Map
0,1132144 British Columbia Ltd,https://www.marketscreener.com/quote/stock/FREEMAN-GOLD-CORP-133120120/news/1132144-British-Columbia-Ltd-completed-the-acquisition-of-Lodge-Resources-Inc-in-a-reverse-merger-33912567/,https://www.marketscreener.com/quote/stock/FREEMAN-GOLD-CORP-133120120/news/1132144-British-Columbia-Ltd-completed-the-acquisition-of-Lodge-Resources-Inc-in-a-reverse-merger-33912567/sitemap.xml
1,1163631 BC Ltd,https://www.bloomberg.com/profile/company/1673188D:CN,https://www.bloomberg.com/profile/company/1673188D:CNsitemap.xml
2,1232963 BC LTD,https://www.newswire.ca/news-releases/first-energy-metals-enters-letter-of-intent-for-thunder-mountain-gold-silver-claims-in-nevada-873737428.html,https://www.newswire.ca/news-releases/first-energy-metals-enters-letter-of-intent-for-thunder-mountain-gold-silver-claims-in-nevada-873737428.htmlsitemap.xml
3,1255269 BC Ltd,https://www.marketscreener.com/quote/stock/ARIS-MINING-CORPORATION-42378661/news/1255269-B-C-Ltd-announced-that-it-has-received-CAD-8-403774-million-in-funding-from-Gran-Colombia-33630772/,https://www.marketscreener.com/quote/stock/ARIS-MINING-CORPORATION-42378661/news/1255269-B-C-Ltd-announced-that-it-has-received-CAD-8-403774-million-in-funding-from-Gran-Colombia-33630772/sitemap.xml
4,1274787 BC Ltd,https://www.newswire.ca/news-releases/rockwell-diamonds-enters-into-acquisition-agreement-for-going-private-transaction-853843531.html,https://www.newswire.ca/news-releases/rockwell-diamonds-enters-into-acquisition-agreement-for-going-private-transaction-853843531.htmlsitemap.xml
5,1279810 BC Ltd,https://webfiles.thecse.com/SPA_Lawyers_Claims_-_Dec._20_final_redacted.pdf?.mp291MJuTR5c_C1965eydiHnAG9nRNV=,https://webfiles.thecse.com/SPA_Lawyers_Claims_-_Dec._20_final_redacted.pdf?.mp291MJuTR5c_C1965eydiHnAG9nRNV=sitemap.xml
6,1296991 BC Ltd,https://www.marketscreener.com/quote/stock/QUANTUM-BATTERY-METALS-CO-38607065/news/Quantum-Battery-Metals-Corp-agreed-to-acquire-1296991-B-C-Ltd-for-CAD-4-8-million-33434688/,https://www.marketscreener.com/quote/stock/QUANTUM-BATTERY-METALS-CO-38607065/news/Quantum-Battery-Metals-Corp-agreed-to-acquire-1296991-B-C-Ltd-for-CAD-4-8-million-33434688/sitemap.xml
7,1301666 BC Ltd,https://www.sec.gov/Archives/edgar/data/1339688/000106299322009914/exhibit99-1.htm,https://www.sec.gov/Archives/edgar/data/1339688/000106299322009914/exhibit99-1.htmsitemap.xml
8,1335025 BC Ltd,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/3166-cse/comt/139508-collective-metals-signs-option-agreement-to-acquire-100-of-northwestern-ontario-lithium-property.html,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/3166-cse/comt/139508-collective-metals-signs-option-agreement-to-acquire-100-of-northwestern-ontario-lithium-property.htmlsitemap.xml
9,1370553 BC Ltd,https://www.bloomberg.com/press-releases/2022-08-04/great-bear-announces-the-filing-of-its-management-information-circular-in-connection-with-its-special-meeting-to-approve,https://www.bloomberg.com/press-releases/2022-08-04/great-bear-announces-the-filing-of-its-management-information-circular-in-connection-with-its-special-meeting-to-approvesitemap.xml
10,1396427 BC Ltd,https://www.marketscreener.com/quote/stock/Q-BATTERY-METALS-CORP-38626833/news/Black-Tusk-Resources-Inc-acquired-1396427-BC-Ltd-42981479/,https://www.marketscreener.com/quote/stock/Q-BATTERY-METALS-CORP-38626833/news/Black-Tusk-Resources-Inc-acquired-1396427-BC-Ltd-42981479/sitemap.xml
11,1403437 BC LTD,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/3131-cse/redg/139506-rock-edge-closes-acquisition-for-val-d-or-east-property.html,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/3131-cse/redg/139506-rock-edge-closes-acquisition-for-val-d-or-east-property.htmlsitemap.xml
12,1411409 BC Ltd,https://www.globenewswire.com/en/news-release/2023/05/17/2671185/0/en/Medaro-Mining-Enters-Into-Agreement-to-Acquire-James-Bay-Pontax-Lithium-Project.html,https://www.globenewswire.com/en/news-release/2023/05/17/2671185/0/en/Medaro-Mining-Enters-Into-Agreement-to-Acquire-James-Bay-Pontax-Lithium-Project.htmlsitemap.xml
13,1414447 BC Ltd,https://www.marketscreener.com/quote/stock/REX-RESOURCES-CORP-123402794/news/Rex-Resources-Corp-acquired-1414447-B-C-Ltd-from-Broadstone-Resources-Inc-for-approximately-CAD-0-44166593/,https://www.marketscreener.com/quote/stock/REX-RESOURCES-CORP-123402794/news/Rex-Resources-Corp-acquired-1414447-B-C-Ltd-from-Broadstone-Resources-Inc-for-approximately-CAD-0-44166593/sitemap.xml
14,1735046 Ontario Inc,https://ero.ontario.ca/notice/019-0150,https://ero.ontario.ca/notice/019-0150sitemap.xml
15,1844 Resources Inc,https://www.1844resources.com/,https://www.1844resources.com/sitemap.xml
16,1911 Gold Corp,https://www.1911gold.com/,https://www.1911gold.com/sitemap.xml
17,2311548 Alberta Ltd,https://www.newsfilecorp.com/release/83681/1246773-B.C.-Ltd.-and-2311548-Alberta-Ltd.-Announce-Closing-of-4.1-Million-Concurrent-Private-Placement-in-Connection-with-the-Proposed-Business-Combination-to-Form-Atacama-Copper-Corporation,https://www.newsfilecorp.com/release/83681/1246773-B.C.-Ltd.-and-2311548-Alberta-Ltd.-Announce-Closing-of-4.1-Million-Concurrent-Private-Placement-in-Connection-with-the-Proposed-Business-Combination-to-Form-Atacama-Copper-Corporationsitemap.xml
18,2672403 Ontario Inc,https://miningdataonline.com/property/3052/Aureus-East-(Dufferin)-Mine.aspx,https://miningdataonline.com/property/3052/Aureus-East-(Dufferin)-Mine.aspxsitemap.xml
19,2752300 Ontario Inc,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2377-cse/mm/88368-cameo-industries-corp-acquires-saganaga-gold-and-silver-project-in-ontario.html,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2377-cse/mm/88368-cameo-industries-corp-acquires-saganaga-gold-and-silver-project-in-ontario.htmlsitemap.xml
20,2765798 Ontario Ltd,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2862-tsx-venture/rye/96327-rhyolite-resources-closes-acquisition-of-the-suku-passi-project-in-suriname.html,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2862-tsx-venture/rye/96327-rhyolite-resources-closes-acquisition-of-the-suku-passi-project-in-suriname.htmlsitemap.xml
21,2777662 Ontario Corp,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2862-tsx-venture/rye/85753-rhyolite-resources-to-acquire-brothers-project-in-suriname.html,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2862-tsx-venture/rye/85753-rhyolite-resources-to-acquire-brothers-project-in-suriname.htmlsitemap.xml
22,37 Capital Inc,http://www.37capitalinc.com/,http://www.37capitalinc.com/sitemap.xml
23,49 North Resources Inc,https://fnr.ca/,https://fnr.ca/sitemap.xml
24,49er Creek Gold Corp,https://www.ximenminingcorp.com/2020/02/28/ximen-acquires-49er-creek-gold-property-in-nelson-gold-camp/,https://www.ximenminingcorp.com/2020/02/28/ximen-acquires-49er-creek-gold-property-in-nelson-gold-camp/sitemap.xml
25,5N Plus Inc,https://www.5nplus.com/,https://www.5nplus.com/sitemap.xml
26,79North Inc,https://www.79north.ca/,https://www.79north.ca/sitemap.xml
27,802213 Alberta Ltd,https://ca.linkedin.com/in/kelly-funk-907722203,https://ca.linkedin.com/in/kelly-funk-907722203sitemap.xml
28,911 Mining Co,https://911mining.com/,https://911mining.com/sitemap.xml
29,9248-7792 Quebec Inc,https://www.bloomberg.com/profile/company/1404476D:CN,https://www.bloomberg.com/profile/company/1404476D:CNsitemap.xml
30,9265-9911 Quebec Inc,https://www.bloomberg.com/profile/company/1344749D:CN,https://www.bloomberg.com/profile/company/1344749D:CNsitemap.xml
31,9396-1217 Quebec Inc,https://www.bloomberg.com/press-releases/2021-05-21/royal-fox-announces-completion-of-reverse-takeover-transaction,https://www.bloomberg.com/press-releases/2021-05-21/royal-fox-announces-completion-of-reverse-takeover-transactionsitemap.xml
32,Aalbers Tool & Mold Inc,https://aalberstool.com/,https://aalberstool.com/sitemap.xml
33,Abacus Mining & Exploration Corp,https://amemining.com/,https://amemining.com/sitemap.xml
34,Abasca Resources Inc,https://www.abasca.ca/,https://www.abasca.ca/sitemap.xml
